worker_id,module,scenario,correct_actions,wrong_actions,unsafe_actions,critical_errors,response_time,completion,score,attempts,competency
W1001,machinery,conveyor_pinch,2,3,1,0,17.89,0,54.2,1,0
W1002,fire,electrical_fire,5,0,0,0,5.58,1,91.1,1,1
W1003,gas,methane_leak,4,1,1,0,8.72,1,66.4,4,0
W1004,gas,methane_leak,7,1,0,0,5.02,1,93.6,1,1
W1005,machinery,milling_nip,2,2,3,2,15.78,1,40.2,1,0
W1006,machinery,conveyor_pinch,5,1,0,0,12.93,1,68.4,1,0
W1007,gas,confined_space,7,0,0,0,5.35,1,91.1,3,1
W1008,machinery,lathe_entrapment,4,3,0,0,7.31,1,68.4,1,0
W1009,machinery,lathe_entrapment,4,1,0,0,12.44,1,68.6,2,0
W1010,fire,electrical_fire,8,1,0,0,6.42,1,89.8,3,1
W1011,fire,chemical_fire,7,1,0,0,6.49,1,84.2,2,1
W1012,fire,electrical_fire,5,0,0,0,2.76,1,78.7,4,1
W1013,machinery,milling_nip,8,1,0,0,6.86,1,94.8,1,1
W1014,fire,structural_fire,6,2,1,0,6.89,1,68.9,1,0
W1015,gas,methane_leak,1,4,1,2,15.94,0,25.3,3,0
W1016,fire,structural_fire,5,1,0,0,13.43,1,72.9,1,1
W1017,gas,methane_leak,5,0,0,0,5.66,1,93.8,1,1
W1018,machinery,conveyor_pinch,6,1,1,0,10.22,1,70.5,2,1
W1019,fire,structural_fire,3,5,2,0,15.5,1,42.9,2,0
W1020,fire,electrical_fire,6,0,0,0,2.04,1,91.3,3,1
W1021,fire,electrical_fire,2,2,3,1,8.62,1,27.5,1,0
W1022,fire,structural_fire,8,1,0,0,2.95,1,77.2,4,1
W1023,gas,h2s_leak,5,0,0,0,2.3,1,91.7,4,1
W1024,fire,electrical_fire,8,0,0,0,4.11,1,81.4,2,1
W1025,fire,electrical_fire,4,3,1,0,17.22,0,63.3,4,0
W1026,fire,electrical_fire,6,1,0,0,6.51,1,78.8,4,1
W1027,fire,chemical_fire,2,3,2,2,7.01,1,27.6,3,0
W1028,fire,structural_fire,2,3,2,0,16.02,0,41.4,1,0
W1029,machinery,conveyor_pinch,5,0,0,0,4.02,1,96.7,2,1
W1030,machinery,conveyor_pinch,5,3,1,0,13.48,1,66.8,1,0
W1031,machinery,milling_nip,6,1,0,0,4.29,1,96.4,2,1
W1032,fire,electrical_fire,6,1,0,0,10.3,1,69.6,4,0
W1033,fire,chemical_fire,3,4,1,0,15.51,1,54.7,1,0
W1034,machinery,lathe_entrapment,6,2,0,0,13.51,1,66.2,1,0
W1035,fire,electrical_fire,6,1,0,0,3.02,1,89.6,2,1
W1036,gas,confined_space,5,0,0,0,5.17,1,94.1,4,1
W1037,fire,electrical_fire,4,4,1,0,17.93,1,53.5,3,0
W1038,fire,electrical_fire,5,3,0,0,9.44,1,65.4,2,0
W1039,gas,methane_leak,6,0,0,0,3.77,1,87.9,3,1
W1040,gas,confined_space,1,2,1,2,5.32,1,47.4,2,0
W1041,gas,confined_space,5,1,0,0,6.36,1,94.7,2,1
W1042,fire,electrical_fire,6,0,0,0,2.12,1,79.4,4,1
W1043,gas,h2s_leak,2,3,3,2,13.83,1,52.9,1,0
W1044,fire,chemical_fire,5,1,0,0,10.77,1,68.1,2,0
W1045,gas,h2s_leak,6,1,0,0,2.22,1,85.0,1,1
W1046,machinery,lathe_entrapment,5,1,0,0,5.12,1,90.3,2,1
W1047,fire,structural_fire,6,2,1,0,9.22,1,67.7,3,0
W1048,fire,electrical_fire,5,3,0,0,10.92,1,67.7,4,0
W1049,machinery,conveyor_pinch,8,1,0,0,4.32,1,85.2,3,1
W1050,fire,structural_fire,4,3,1,0,14.27,1,42.2,4,0
W1051,fire,structural_fire,6,0,0,0,2.12,1,80.6,3,1
W1052,gas,confined_space,6,1,0,0,4.47,1,80.6,1,1
W1053,machinery,lathe_entrapment,2,4,1,0,13.41,1,41.2,1,0
W1054,fire,electrical_fire,8,1,0,0,6.75,1,95.5,4,1
W1055,machinery,lathe_entrapment,4,4,1,0,17.95,1,50.8,4,0
W1056,fire,structural_fire,4,4,1,0,14.2,0,57.1,3,0
W1057,fire,chemical_fire,5,0,0,0,2.75,1,83.8,3,1
W1058,fire,structural_fire,8,1,0,0,4.71,1,84.6,2,1
W1059,fire,chemical_fire,3,4,1,2,11.2,1,30.5,4,0
W1060,gas,h2s_leak,7,1,0,0,4.43,1,83.9,2,1
W1061,machinery,lathe_entrapment,3,3,1,0,19.26,0,42.0,4,0
W1062,gas,methane_leak,7,1,0,0,3.64,1,85.5,4,1
W1063,gas,h2s_leak,3,4,1,0,15.76,0,64.0,3,0
W1064,gas,methane_leak,4,3,1,0,19.6,0,60.1,1,0
W1065,machinery,conveyor_pinch,5,0,0,0,4.33,1,80.9,2,1
W1066,gas,methane_leak,2,4,1,0,16.63,1,53.8,1,0
W1067,gas,h2s_leak,6,0,0,0,5.49,1,81.9,2,1
W1068,machinery,lathe_entrapment,4,3,2,0,16.26,1,41.7,1,0
W1069,machinery,milling_nip,3,3,2,0,19.69,1,57.0,1,0
W1070,gas,methane_leak,6,2,1,0,9.48,1,71.6,3,1
W1071,gas,h2s_leak,2,4,2,0,13.95,1,53.7,2,0
W1072,machinery,milling_nip,7,0,0,0,4.44,1,83.2,3,1
W1073,gas,h2s_leak,4,4,1,0,16.13,0,42.1,3,0
W1074,machinery,milling_nip,4,3,1,0,11.17,1,69.4,4,0
W1075,fire,electrical_fire,6,1,0,0,5.32,1,83.5,3,1
W1076,machinery,lathe_entrapment,7,1,0,0,5.51,1,81.2,3,1
W1077,gas,methane_leak,3,3,1,0,13.53,1,46.6,1,0
W1078,machinery,lathe_entrapment,1,3,1,2,7.33,0,44.8,3,0
W1079,fire,chemical_fire,3,3,3,1,13.29,1,23.6,1,0
W1000,fire,structural_fire,8,1,0,0,2.92,1,76.2,3,1
W1001,gas,methane_leak,5,0,0,0,2.76,1,93.7,1,1
W1002,gas,methane_leak,8,0,0,0,5.88,1,83.7,2,1
W1003,gas,h2s_leak,5,0,0,0,6.74,1,79.8,4,1
W1004,fire,chemical_fire,6,0,0,0,2.78,1,84.4,1,1
W1005,machinery,lathe_entrapment,6,1,0,0,5.53,1,91.2,4,1
W1006,gas,methane_leak,3,4,3,1,10.53,0,42.7,2,0
W1007,gas,methane_leak,7,1,0,0,4.2,1,85.8,1,1
W1008,gas,confined_space,3,4,2,2,6.05,0,51.1,4,0
W1009,machinery,milling_nip,6,0,0,0,7.0,1,90.5,3,1
W1010,gas,confined_space,2,4,2,0,19.33,0,63.9,1,0
W1011,gas,confined_space,2,3,2,2,9.17,0,50.0,4,0
W1012,gas,h2s_leak,8,0,0,0,4.27,1,82.2,4,1
W1013,gas,methane_leak,2,5,2,0,15.31,0,52.4,4,0
W1014,machinery,milling_nip,2,4,1,0,19.42,1,61.1,4,0
W1015,gas,methane_leak,3,2,3,1,9.04,0,39.3,1,0
W1016,fire,electrical_fire,5,0,0,0,4.49,1,91.5,1,1
W1017,machinery,lathe_entrapment,8,1,0,0,3.22,1,87.7,3,1
W1018,gas,methane_leak,3,4,2,0,19.47,1,59.7,2,0
W1019,gas,confined_space,4,5,2,0,18.92,1,52.9,3,0
W1020,gas,h2s_leak,7,0,0,0,6.9,1,80.5,4,1
W1021,gas,methane_leak,8,1,0,0,3.93,1,90.3,4,1
W1022,machinery,conveyor_pinch,1,4,3,2,16.31,1,23.5,4,0
W1023,gas,methane_leak,6,0,0,0,4.35,1,97.3,2,1
W1024,gas,confined_space,5,3,1,0,13.63,1,70.6,4,1
W1025,gas,confined_space,4,3,1,0,13.98,1,71.7,1,1
W1026,gas,methane_leak,7,0,0,0,2.23,1,93.3,1,1
W1027,gas,h2s_leak,6,1,0,0,4.83,1,93.2,3,1
W1028,fire,electrical_fire,5,3,0,0,9.98,1,70.2,1,1
W1029,fire,chemical_fire,5,1,0,0,6.51,1,90.6,3,1
W1030,fire,electrical_fire,3,3,3,2,13.97,1,49.6,4,0
W1031,fire,chemical_fire,8,1,0,0,4.87,1,97.8,4,1
W1032,gas,methane_leak,5,1,0,0,6.16,1,95.8,4,1
W1033,fire,structural_fire,6,1,0,0,5.39,1,91.6,3,1
W1034,machinery,lathe_entrapment,6,3,0,0,8.47,1,69.0,2,0
W1035,machinery,milling_nip,7,1,0,0,5.74,1,79.0,2,1
W1036,fire,structural_fire,5,1,1,0,13.31,1,73.5,3,1
W1037,gas,confined_space,3,3,1,0,18.03,0,60.6,3,0
W1038,machinery,lathe_entrapment,3,3,1,2,5.18,0,35.9,4,0
W1039,machinery,lathe_entrapment,6,2,0,0,11.4,1,69.2,3,0
W1040,machinery,lathe_entrapment,1,4,1,2,16.82,1,42.7,3,0
W1041,fire,electrical_fire,2,3,1,1,8.05,0,33.6,1,0
W1042,gas,confined_space,6,1,1,0,11.24,1,72.5,4,1
